variety,word,decision,register,gloss,gloss_source,note,decided_by,decided_at
be,kmo,keep,,kleine of middelgrote onderneming,claude-opus-5 (accepted by author),,author,2026-09-21T17:38:25+00:00
be,knolselder,keep,,knolselderij,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,koekebrood,keep,,krentenbrood,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,koer,keep,,"binnenplaats, speelplaats",claude-opus-5 (accepted by author),,author,2026-09-21T17:38:48+00:00
be,koffiezet,keep,,koffiezetapparaat,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,konijnenpijp,keep,,konijnenhol,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,konkelfoezen,keep,,"konkelen, intrigeren",claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,koppigaard,keep,standard,stijfkop,claude-opus-5 (accepted by author),,author,2026-09-21T17:38:01+00:00
be,kortfilm,keep,,korte film,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,kotbaas,keep,,verhuurder van studentenkamers,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,koteren,keep,,peuteren; poken,gemini (chosen by author),,author,2026-09-21T17:55:23+00:00
be,koterij,keep,,"aanbouwsel, bijgebouwtje",claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,kotmadam,keep,,hospita van studentenkamers,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,kouter,keep,,"akker, veld",claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,kraaknet,keep,standard,"brandschoon, spic en span",claude-opus-5 (accepted by author),,author,2026-09-21T17:37:41+00:00
be,kribbelen,keep,,kriebelen; krabbelen (schrijven),claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,kroezelhaar,keep,,kroeshaar,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,kruidtuin,keep,,botanische tuin,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,kuisploeg,keep,,schoonmaakploeg,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,kursaal,keep,,"casino, feestzaal aan zee",claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,kwatong,keep,,roddelaar(ster),claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,kwijtschrift,keep,,"kwitantie, betalingsbewijs",claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,laattijdig,keep,,"te laat, verlaat",claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,labeur,keep,,zwaar werk,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,labo,keep,,laboratorium,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,labojas,keep,,laboratoriumjas,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,laureaat,keep,,"winnaar, geslaagde",claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,lavabo,keep,,wastafel,claude-opus-5 (accepted by author),,author,2026-09-21T17:38:14+00:00
be,leefloon,keep,,bijstandsuitkering,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,leeggoed,keep,,"lege flessen, statiegeldverpakking",claude-opus-5 (accepted by author),,author,2026-09-21T17:38:11+00:00
be,lekstok,keep,,lolly,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,leute,keep,,"plezier, pret",claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,licentiaat,keep,,vroeger universitair diploma (nu master),claude-opus-5 (accepted by author),,author,2026-09-21T17:39:01+00:00
be,ligament,keep,,gewrichtsband,claude-opus-5 (accepted by author),,author,2026-09-21T17:38:51+00:00
be,litoraal,keep,,"kust, kustgebied",claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,loebas,keep,,"lummel, lomperik",claude-opus-5 (chosen by author),,author,2026-09-21T17:55:26+00:00
be,looksaus,keep,,knoflooksaus,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,lookworst,keep,,knoflookworst,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,loonfiche,keep,,loonstrook,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,loonkost,keep,,"loonkosten, personeelskosten",claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,looppiste,keep,,atletiekbaan,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,luidop,keep,,hardop,claude-opus-5 (accepted by author),,author,2026-09-21T17:38:38+00:00
be,lumbago,keep,,"spit, lage rugpijn",claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,luster,keep,standard,kroonluchter,claude-opus-5 (accepted by author),,author,2026-09-21T17:35:49+00:00
be,macadam,keep,,"steenslagverharding, asfaltweg",claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,magazijnier,keep,,magazijnbediende,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,mandataris,keep,,"gekozen politicus, ambtsdrager",claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,maniok,keep,,cassave,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,manken,keep,,mank lopen,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,maquillage,keep,,make-up,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,massacreren,keep,,afslachten; verknoeien,claude-opus-5 (accepted by author),,author,2026-09-21T17:38:16+00:00
be,matrak,keep,,"wapenstok, knuppel",claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,mattentaart,keep,,taartje met wrongel (streekgebak),claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,matuur,keep,,"rijp, volwassen",claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,mazout,keep,,stookolie,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,mediatiseren,keep,,veel media-aandacht geven,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,merkelijk,keep,,aanzienlijk,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,metsen,keep,,metselen,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,metser,keep,,metselaar,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,mezzanine,keep,,tussenverdieping,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,milderen,keep,,"verzachten, afzwakken",claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,minarine,keep,,halvarine,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,miniemen,keep,,jeugdcategorie in de sport (ca. 10-12 jaar),claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,mismeesteren,keep,,"toetakelen, mishandelen",claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,misnoegd,keep,,ontevreden,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,mispeuteren,keep,,"kattenkwaad uithalen, iets fout doen",claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,mitraillette,keep,,machinepistool; ook: stokbrood met frieten en vlees,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,moegetergd,keep,,"het beu, tot het uiterste getergd",claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,moeial,keep,,bemoeial,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,moeien,keep,,zich bemoeien,claude-opus-5 (accepted by author),,author,2026-09-21T17:38:30+00:00
be,mogelijks,keep,,"mogelijk, misschien",claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,monitrice,keep,,"(vrouwelijke) begeleider, monitor",claude-opus-5 (accepted by author),,author,2026-09-21T17:38:56+00:00
be,moto,keep,standard,motorfiets,claude-opus-5 (accepted by author),,author,2026-09-21T17:35:08+00:00
be,mouwvegen,keep,,"vleien, slijmen",claude-opus-5 (accepted by author),,author,2026-09-21T17:38:59+00:00
be,mouwveger,keep,,"slijmbal, vleier",claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,mulat,keep,,persoon met ouders van verschillende huidskleur,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,nachtraaf,keep,standard,nachtbraker,claude-opus-5 (accepted by author),,author,2026-09-21T17:37:47+00:00
be,nefast,keep,,"noodlottig, schadelijk",claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,negatie,keep,,ontkenning,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,nieuwkuis,keep,,stomerij,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,nijdigaard,keep,,driftkop,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,nonkel,keep,standard,oom,claude-opus-5 (accepted by author),,author,2026-09-21T17:35:55+00:00
be,notelaar,keep,,notenboom,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,notelaren,keep,,walnotenbomen; okkernootbomen,gemini (chosen by author),,author,2026-09-21T17:55:31+00:00
be,occasie,keep,,gelegenheid; tweedehandswagen,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,omwringen,keep,,omdraaien; wurgen,gemini (chosen by author),,author,2026-09-21T17:55:36+00:00
be,omzeggens,keep,,"bijna, zo goed als",claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,omzendbrief,keep,,circulaire,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,ondereen,keep,,"onder elkaar, door elkaar",claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,ongesofisticeerd,keep,,"eenvoudig, onverfijnd",claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,onpaar,reject_obsolete,,,,,author,2026-09-21T17:33:00+00:00
be,onthaalmoeder,keep,,gastouder (vrouw),claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,onthaalouder,keep,,gastouder,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,opblinken,keep,,oppoetsen,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,opkleden,keep,,"opsmukken, mooi aankleden",claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,opkramen,keep,standard,opruimen; ook: vertrekken,claude-opus-5 (accepted by author),,author,2026-09-21T17:34:34+00:00
be,oplijsten,keep,,een lijst maken van,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,opplooien,keep,,opvouwen,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,opsolferen,keep,,"opdringen, aansmeren",claude-opus-5 (accepted by author),,author,2026-09-21T17:39:00+00:00
be,opvordering,keep,,vordering tot teruggave (juridisch),claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,opzoeking,keep,,"onderzoek, opzoekwerk",claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,orbitaal,keep,,rond een stad lopend (ringweg),claude-opus-5 (chosen by author),,author,2026-09-21T17:55:41+00:00
be,overkop,keep,,over de kop,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,overslapen,keep,,zich verslapen,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,owngoal,keep,,eigen doelpunt,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,pagadder,keep,,"kleine jongen, deugniet",claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,pallieter,keep,,levensgenieter,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,palmares,keep,,erelijst,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,pandoering,keep,,pak slaag,claude-opus-5 (accepted by author),,author,2026-09-21T17:38:31+00:00
be,paritair,keep,,gelijk samengesteld (paritair comité),claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,parlofoon,keep,,"intercom, huistelefoon",claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,pediater,keep,,kinderarts,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,penaliseren,keep,,"bestraffen, benadelen",claude-opus-5 (accepted by author),,author,2026-09-21T17:38:46+00:00
be,performant,keep,,"goed presterend, efficiënt",claude-opus-5 (accepted by author),,author,2026-09-21T17:38:37+00:00
be,petanquen,keep,,jeu de boules spelen,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,peulschil,keep,,"kleinigheid, fluitje van een cent",claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,pickles,keep,,piccalilly,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,picoseconde,keep,,biljoenste van een seconde,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,pijpajuin,keep,,"bosui, lente-ui",claude-opus-5 (accepted by author),,author,2026-09-21T17:38:13+00:00
be,pilaarbijter,keep,standard,kwezel,claude-opus-5 (accepted by author),,author,2026-09-21T17:34:59+00:00
be,pilipili,keep,,pikante rode peper,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,pintelieren,keep,,"pintjes drinken, op café zitten",claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,pisbloem,keep,,paardenbloem,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,pivoteren,keep,,draaien om een as (ook in basketbal),claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,plaaster,keep,,"gips, pleister",claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,pladijs,keep,,schol,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,plafonneren,keep,,een maximum opleggen; ook: stukadoren,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,plafonnering,keep,,pleisterwerk; bepleistering,gemini (chosen by author),,author,2026-09-21T17:55:44+00:00
be,plattekaas,keep,,kwark,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,pletsen,keep,,neerplenzen; kletsen,gemini (chosen by author),,author,2026-09-21T17:55:45+00:00
be,pletwals,keep,,wegwals,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,pluviometer,keep,,regenmeter,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,polieren,keep,,polijsten,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,polyglot,keep,,veeltalig persoon,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,pompaf,keep,standard,doodmoe,claude-opus-5 (accepted by author),,author,2026-09-21T17:34:36+00:00
be,pompier,keep,standard,brandweerman,claude-opus-5 (accepted by author),,author,2026-09-21T17:35:53+00:00
be,postogram,keep,,dringend poststuk,gemini (chosen by author),,author,2026-09-21T17:55:45+00:00
be,potdoof,keep,,stokdoof,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,prijskamp,keep,,"wedstrijd, prijsvraag",claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,primordiaal,keep,,van het grootste belang,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,producen,keep,,produceren (muziek),claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,profijtig,keep,,zuinig,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,profliga,keep,,vereniging van beroepsclubs,gemini (chosen by author),,author,2026-09-21T17:55:45+00:00
be,pronostiek,keep,,voorspelling,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,pruimelaar,keep,,pruimenboom,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,raid,keep,,trektocht (sport); inval,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,recto,keep,,voorzijde,claude-opus-5 (accepted by author),,author,2026-09-21T17:38:54+00:00
be,recyclage,keep,,recycling; hergebruik,gemini (chosen by author),,author,2026-09-21T17:55:45+00:00
be,recycleren,keep,,recyclen; zich bijscholen,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,reekshoofd,keep,,geplaatste speler; rami-hoofd,gemini (chosen by author),,author,2026-09-21T17:55:46+00:00
be,refter,keep,,eetzaal (school),claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,regentaat,keep,,vroegere lerarenopleiding,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,reisduif,keep,,postduif,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,remgeld,keep,,eigen bijdrage (gezondheidszorg),claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,renommée,keep,,reputatie,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,resem,keep,,"reeks, hele boel",claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,rijhuis,keep,,rijtjeshuis,claude-opus-5 (accepted by author),,author,2026-09-21T17:38:52+00:00
be,rijven,keep,,harken,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,rockrally,keep,,muziekwedstrijd voor jonge bands,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,roefelen,keep,,ontdekken via kinderactiviteit,gemini (chosen by author),,author,2026-09-21T17:55:46+00:00
be,roofing,keep,,bitumen dakbedekking,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,rotslecht,keep,,heel slecht,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,roulade,keep,,rollade,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,rozelaar,keep,standard,rozenstruik,claude-opus-5 (accepted by author),,author,2026-09-21T17:33:09+00:00
be,sabayon,keep,,schuimig eierdessert (zabaglione),claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,sakkeren,keep,,"vloeken, mopperen",claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,salopette,keep,,tuinbroek,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,sasdeur,keep,,sluisdeur,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,savooikool,keep,,savooiekool,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,schachtendoop,keep,,ontgroening (studenten),claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,schotelvod,keep,standard,vaatdoek,claude-opus-5 (accepted by author),,author,2026-09-21T17:33:42+00:00
be,schotwonde,keep,,schotwond,claude-opus-5 (accepted by author),,author,2026-09-21T17:38:28+00:00
be,schranken,keep,,schuin over elkaar leggen,gemini (chosen by author),,author,2026-09-21T17:55:46+00:00
be,schuifaf,keep,,glijbaan,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,sedentair,keep,,zittend,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,selder,keep,,selderij,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,seldertje,keep,,selderijtakje,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,serveuse,keep,,serveerster,claude-opus-5 (accepted by author),,author,2026-09-21T17:38:06+00:00
be,seutig,keep,,"truttig, saai",claude-opus-5 (accepted by author),,author,2026-09-21T17:38:39+00:00
be,sinusitis,keep,,bijholteontsteking,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,slaapwel,keep,,welterusten,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,slazwierder,keep,,slacentrifuge,claude-opus-5 (accepted by author),,author,2026-09-21T17:38:34+00:00
be,sloef,keep,,"pantoffel, slof",claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,sluikstorten,keep,,illegaal afval dumpen,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,sluikstorter,keep,,wie illegaal afval dumpt,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,smos,keep,,belegd broodje met groenten,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,smossen,keep,,"knoeien, morsen",claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,smout,keep,,reuzel,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,smoutachtig,keep,,vettig,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,smoutebol,keep,,oliebol,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,sneeuwklas,keep,,skiverblijf met de school,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,snok,keep,standard,ruk,claude-opus-5 (accepted by author),,author,2026-09-21T17:35:43+00:00
be,snokken,keep,,rukken,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,snotvalling,keep,,verkoudheid,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,snuisteren,keep,,"snuffelen, neuzen",claude-opus-5 (accepted by author),,author,2026-09-21T17:38:53+00:00
be,snul,keep,,sukkel,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,solden,keep,standard,uitverkoop,claude-opus-5 (accepted by author),,author,2026-09-21T17:35:51+00:00
be,solsleutel,keep,,g-sleutel (muziek),claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,speelvogel,keep,,speels kind,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,speractie,keep,,actie tijdens de sperperiode,gemini (chosen by author),,author,2026-09-21T17:55:46+00:00
be,spionkop,keep,,fanvak achter het doel,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,springuur,keep,standard,tussenuur (op school),claude-opus-5 (accepted by author),,author,2026-09-21T17:35:44+00:00
be,stakingspiket,keep,,stakerspost,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,steamen,keep,,stomen; kleding stomen,gemini (chosen by author),,author,2026-09-21T17:55:46+00:00
be,sterfput,keep,,zinkput voor afvalwater,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,stiel,keep,,"vak, beroep",claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,stielkennis,keep,,vakkennis,claude-opus-5 (accepted by author),,author,2026-09-21T17:38:42+00:00
be,stielman,keep,,vakman,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,stock,keep,,voorraad,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,stockeren,keep,,opslaan,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,stoefen,keep,standard,opscheppen,claude-opus-5 (accepted by author),,author,2026-09-21T17:35:37+00:00
be,stoefer,keep,standard,opschepper,claude-opus-5 (accepted by author),,author,2026-09-21T17:37:39+00:00
be,stoemp,keep,standard,stamppot,claude-opus-5 (accepted by author),,author,2026-09-21T17:35:46+00:00
be,stofhagel,keep,,fijne hagel,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,stofvod,keep,,stofdoek,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,stresserend,keep,,stressvol,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,strooiwei,keep,,weide waarop de as van overledenen wordt uitgestrooid,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,stuiken,keep,,vallen; struikelen,gemini (chosen by author),,author,2026-09-21T17:55:46+00:00
be,superette,keep,,kleine supermarkt,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,suppositoire,keep,,zetpil,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,syndicus,keep,,beheerder van een appartementsgebouw,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,taalbad,keep,,onderdompeling in een taal,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,taallabo,keep,,talenpracticum,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,taboeret,keep,,krukje,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,tafelschuimer,keep,,klaploper,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,tarmac,keep,,asfalt,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,tateren,keep,,"kakelen, snateren",claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,taxidermie,keep,,opzetten van dieren,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,tegenkanting,keep,,"tegenstand, verzet",claude-opus-5 (accepted by author),,author,2026-09-21T17:36:01+00:00
be,tegensteken,keep,,dwarsbomen; tegenwerken,gemini (chosen by author),,author,2026-09-21T17:55:47+00:00
be,teleonthaal,keep,,telefonische hulpdienst,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,toemaatje,keep,,"extraatje, toegift",claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,toezichter,keep,,"toezichthouder, surveillant",claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,tooghanger,keep,,kroegtijger,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,tornooi,keep,,toernooi,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,tornooien,keep,,toernooien,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,trafiek,keep,,verkeer; ook: (drugs)handel,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,treffelijk,keep,,"fatsoenlijk, net",claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,trimestrieel,keep,,driemaandelijks,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,triumviraat,keep,,driemanschap,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,trottinette,keep,,step (autoped),claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,truweel,keep,,troffel,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,turngerief,keep,standard,gymspullen,claude-opus-5 (accepted by author),,author,2026-09-21T17:33:45+00:00
be,turnkring,keep,,gymnastiekvereniging,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,turnpantoffel,keep,,gymschoen,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,tweewoonst,keep,,twee-onder-een-kapwoning,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,uitschijnen,keep,,laten uitschijnen: laten blijken,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,uitwijkeling,keep,,emigrant,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,unief,keep,,universiteit,claude-opus-5 (accepted by author),,author,2026-09-21T17:38:43+00:00
be,unitair,keep,,als eenheidsstaat georganiseerd,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,urne,keep,,stembus,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,vadsigaard,keep,,luiaard,claude-opus-5 (accepted by author),,author,2026-09-21T17:39:03+00:00
be,valabel,keep,standard,"geldig, aanvaardbaar",claude-opus-5 (accepted by author),,author,2026-09-21T17:34:40+00:00
be,valavond,keep,,schemering,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,valoriseren,keep,,"te gelde maken, benutten",claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,vanop,keep,,"vanaf, van (op)",claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,velo,keep,,fiets,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,verbrodden,keep,,verknoeien,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,verdoken,keep,,verborgen,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,verkorven,keep,,het verkorven hebben: uit de gratie zijn,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,verloning,keep,,bezoldiging,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,verluchten,keep,,"luchten, ventileren",claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,verpinken,keep,standard,zonder verpinken: zonder een spier te vertrekken,claude-opus-5 (accepted by author),,author,2026-09-21T17:35:31+00:00
be,versassen,keep,standard,door een sluis schutten,gemini (chosen by author),,author,2026-09-21T17:55:47+00:00
be,verso,keep,,achterzijde,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,verzweren,keep,,zweren; gezwel vormen,gemini (chosen by author),,author,2026-09-21T17:55:47+00:00
be,vestimentair,keep,,wat kleding betreft,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,vidé,keep,,koninginnenhapje; pasteitje,gemini (chosen by author),,author,2026-09-21T17:55:47+00:00
be,vijs,keep,,schroef,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,vijzen,keep,,schroeven,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,viseren,keep,,aftekenen (document); mikken op,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
